en_name,cn_name
1941 - Counter Attack (Super Grafx) (J),1941日版
1943 Kai (J),1943改版日版
21 Emon - Mezase Hotel Ou!! (J),旅馆王日版
Adventure Island (J),神奇男孩日版
Aero Blasters (J),空战克星日版
Aero Blasters (U),空战克星美版
After Burner II (J),冲破火网２日版
Air Zonk (U),空中射击美版
Aldynes (Super Grafx) (J),霹雳风云日版
Alien Crush (J),异形弹珠台日版
Alien Crush (U),异形弹珠台美版
Ankoku Densetsu (J),暗黑传说日版
Aoi Blink (J),青色杜马日版
Appare Gateball (J),槌球大赛日版
Armed Formation F (J),武装战机日版
Artist Tool (J),绘图工具日版
Atomic Robo-Kid Special (J),原子机械童日版
AV Poker (J),av扑克日版
Ballistix (J),妖魔传日版
Ballistix (U),妖魔传美版1
Bari Bari Densetsu (J),妖魔传美版
Barunba (J),宝伦大作战日版
Batman (J),蝙蝠侠日版
Battle Ace (Super Grafx) (J),空中火狐日版
Battle Lode Runner (J),battleloderunner日版
Battle Royale (U),battleroyale美版
Be Ball (J),太极球日版
Benkei Gaiden (J),牟庆外传日版ip
Benkei Gaiden (J) [a],牟庆外传日版
Bikkuriman World (J),冒险世界日版
Bikkuriman World (J) [a],冒险世界日版1
Blazing Lazers (U),燃烧空战美版
Blodia (J),迷魂阵日版
Bloody Wolf (U),血狼美版
Body Conquest II (J),美女外传2日版
Bomberman - Users Battle (J),轰炸超人日版1
Bomberman (J),轰炸超人日版
Bomberman (U),轰炸超人美版
Bomberman '93 (J),轰炸超人93日版
Bomberman '93 (Special Version) (J),轰炸超人93特别版日版
Bomberman '93 (U),轰炸超9人3美版
Bomberman '94 (J),轰炸超人94日版
Bonk III - Bonk's Big Adventure (U),pc原人大冒险美版
Bonk's Adventure (U),pc原人冒险记美版
Bonk's Revenge (U),pc原人复仇记美版
Bouken Danshaku Don - The Lost Sunheart (J),冒险男爵日版
Boxyboy (U),仓库番美版
Bravoman (U),超绝伦人美版
Break In (J),花式撞球日版
Bubblegum Crash! - Knight Sabers 2034 (J),吹波糖危机日版
Bull Fight - Ring no Haja (J),拳王争霸日版
Burning Angels (J),燃烧天使日版
Busou Keiji - Cyber Cross (J),武装刑事日版
Cadash (J),卡达叙传说日版
Cadash (U),卡达叙传说美版
Champion Wrestler (J),疯狂摔角日版
Champions Forever Boxing (U),霸王拳击美版
Chew Man Fu (U),太极球美版
Chibi Maruko Chan - Quiz de Piihyara (J),小丸子机智问答日版
Chikudenya Toubei - Kubikiri Yakata Yori (J),电屋藤兵卫日版
Chikudenya Toubei - Kubikiri Yakata Yori (J) [a],逐电屋藤兵卫日版
China Warrior (U),中国功夫李小龙美版
Chouzetsu Rinjin - Bravoman (J),超绝人日版
Circus Lido (J),泡泡虫日版
City Hunter (J),城市猎人日版
Columns (J),宝石方块日版
Coryoon - Child of Dragon (J),顽皮龙日版
Coryoon - Child of Dragon (J) [a],顽皮龙日版1
Cratermaze (U),cratermaze美版
Cross Wiber - Cyber Combat Police (J),武装战斗刑事日版
Cyber Core (J),战斗生命体日版
Cyber Core (U),战斗生命体美版
Cyber Dodge (J),战斗躲避球日版
Cyber Knight (J),武装骑士日版
Dai Makaimura (Super Grafx) (J),大魔界村日版
Dai Senpu (J),大旋风日版
Daichi Kun Crisis - Do Natural (J),幻之大地日版
Darius Alpha (J),太空战机alpha日版
Darius Plus (Super Grafx-compatible) (J),太空战机plus日版
Darkwing Duck (U),怪鸭历险记美版
Davis Cup Tennis (U),戴维斯杯网球美版
Dead Moon (J),死亡之月日版
Dead Moon (U),死亡之月美版
Deep Blue - Kaitei Shinwa (J),海底神话日版
Deep Blue (U),海底神话美版
Detana!! TwinBee (J),兵蜂日版
Devil Crash - Naxat Pinball (J),魔幻弹珠台日版
Devil's Crush - Naxat Pinball (U),魔幻弹珠台美版
Die Hard (J),终极警探日版
Digital Champ (J),真实拳击日版
Don Doko Don! (J),木匠兄弟日版
Doraemon - Meikyuu Dai Sakusen (J),小叮当迷宫大作战日版
Doraemon - Nobita no Dorabian Night (J),小叮当阿拉伯之夜日版
Double Dungeons - W (J),w双龙战记日版
Double Dungeons - W (U),双龙战记美版
Download (J),计算机骑士日版
Download (J) [a],计算机骑士日版1
Dragon Egg! (J),恐龙女战士日版
Dragon Saber - After Story of Dragon Spirit (J),龙骑兵日版
Dragon Saber - After Story of Dragon Spirit (J) [a],龙骑兵日版1
Dragon Spirit (J),龙魂日版
Dragon Spirit (U),龙魂美版
Dragon's Curse (U),龙之咒美版
Drop Rock Hora Hora (J),打水果日版
Drop Rock Hora Hora (J) [a],打水果日版1
Drop.Off (U),水果方块美版
Dungeon Explorer (J),魔洞战记日版
Dungeon Explorer (U),魔洞战记美版
Energy (J),艾吉娜日版
F1 Circus (J),f1竞技场日版2
F1 Circus (J) [a],f1竞技场日版3
F1 Circus '91 - World Championship (J),f1竞技场日版1
F1 Circus '92 - The Speed of Sound (J),f1竞技场日版
F-1 Dream (J),f1之梦日版
F-1 Pilot - You're King of Kings (J),f1驶员日版
F1 Triple Battle (J),f1大赛车日版
Falcon (U),鹰式战机美版
Fantasy Zone (J),幻想空间日版
Fantasy Zone (U),幻想空间美版
Fighting Run (J),铁甲威龙日版
Final Blaster (J),凤凰战机日版
Final Lap Twin (J),终极赛车日版
Final Lap Twin (U),终极赛车美版
Final Match Tennis (J),终极网球日版
Final Soldier (J),最终战机日版
Final Soldier (Special Version) (J),最终战机限时版日版
Fire Pro Wrestling - Combination Tag (J),热血摔角日版
Fire Pro Wrestling 2 - 2nd Bout (J),热血摔角2日版
Fire Pro Wrestling 3 - Legend Bout (J),热血摔角3日版
Formation Soccer - Human Cup '90 (J),休曼杯足球日版
Formation Soccer - On J. League (J),休曼联盟足球日版
Fushigi no Yume no Alice (J),爱丽丝日版
Gai Flame (J),炎之大地日版
Gaia no Monshou (J),大地纹章日版
Galaga '88 (J),小蜜蜂日版
Galaga '90 (U),小蜜蜂美版
Ganbare! Golf Boys (J),高尔夫少年日版
Gekisha Boy (J),激写男孩日版
Genji Tsuushin Agedama (J),通讯少年日版
Genpei Toumaden (J),源平讨魔传日版
Genpei Toumaden Ni no Maki (J),源平讨魔传日版1
Ghost Manor (U),幽魂领地美版
Gokuraku! Chuuka Taisen (J),中华大仙日版
Gomola Speed (J),毛毛虫日版
Gradius (J),宇宙巡航舰日版
Gunboat (U),激战惩美版
Gunhed - Hudson Gunhed Taikai (J),机甲战士特别版日版
Gunhed (J),机甲战士日版1
Hana Taaka Daka! (J),射击天狗日版
Hanii in the Sky (J),空中甜心日版1
Hanii on the Road (J),空中甜心日版
Hatris (J),帽子方块日版
Heavy Unit (J),机动劲旅日版
Hisou Kihei - Xserd (J),飞装骑兵日版
Hit the Ice - VHL the Official Video Hockey League (J),冰上曲棍球日版
Hit the Ice - VHL the Official Video Hockey League (U),冰上曲棍球美版
Honoo no Toukyuuji Dodge Danpei (J),斗球儿弹平日版
Idol Hanafuda Fan Club (J),美少女麻雀日版
Image Fight (J),幻影战机日版
Impossamole (U),浣熊超人美版
J. League Greatest Eleven (J),联盟足球赛日版
J.J. & Jeff (U),jj与杰夫美版
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (J),杰克高尔夫18洞日版
Jack Nicklaus' Turbo Golf (U),杰克高尔夫加强版美版
Jackie Chan (J),成龙功夫日版
Jackie Chan's Action Kung Fu (U),成龙功夫美版
Jigoku Meguri (J),地狱轮回日版
Jinmu Denshou (J),神武传承日版
Jinmu Denshou (J) [a],神武传承日版1
Juuouki (J),兽王记日版
Juuouki (J) [a],兽王记日版1
Kaizou Choujin Shubibinman (J),改造超人日版
Kaizou Choujin Shubibinman 2 - Aratanaru Teki (J),改造超人2日版
Kato Chan & Ken Chan (J),爆笑人日版
Kattobi! Takuhai Kun (J),宅配日版
Keith Courage in Alpha Zones (U),魔神英雄传美版
KickBall (J),场式足球日版
Kiki Kaikai (J),奇奇怪界日版
King of Casino (J),赌场之王日版
King of Casino (U),赌场之王美版
Klax (J),立体方块日版
Klax (U),立体方块美版
Knight Rider Special (J),霹雳游侠日版
Kore ga Pro Yakyuu '89 (J),棒球89日版
Kore ga Pro Yakyuu '90 (J),棒球日版
"Kung Fu, The (J)",功夫日版
Kyuukyoku Mahjong - Idol Graphics (J),究极麻雀日版
Kyuukyoku Mahjong II (J),究极麻雀2日版
Kyuukyoku Tiger (J),究极虎日版
Lady Sword (J),美少女之剑日版
Lady Sword (J) [a],美少女之剑日版1
Legend of Hero Tonma (J),汤姆历险记日版
Legend of Hero Tonma (U),汤姆历险记美版
"Legendary Axe II, The (U)",战斧传说2美版
"Legendary Axe, The (U)",战斧传说美版
Lode Runner - Lost Labyrinth (J),矿脉日版
Madou Ou - Granzooto (Super Grafx) (J),魔动王日版
Maerchen Maze (J),艾丽斯梦游仙境日版
Magical Chase (J),小魔女日版
Magical Chase (U),小魔女美版
Mahjong Gakuen - Touma Soushirou Toujou (J),麻雀学园东间风四郎日版
Mahjong Gakuen Mild - Touma Soushirou Toujou (J),麻雀学园日版
Mahjong Gakuen Mild - Touma Soushirou Toujou (J) [a],麻雀学园日版1
Mahjong Gokuu Special (J),麻雀悟空天竺特别版日版
Mahjong Haou Den - Kaiser's Quest (J),麻雀霸王传日版
Mahjong Shikyaku Retsuden - Mahjong Wars (J),麻雀战争日版
Maison Ikkoku (J),相聚一刻日版
Majin Eiyuu Den Wataru (J),魔神英雄传日版
Makai Hakken Den Shada (J),魔界八犬传日版
Makai Prince Dorabocchan (J),魔界王子日版
Makyou Densetsu (J),魔境传说日版
Maniac Puroresu - Asu heno Tatakai (J),明日战斗日版
Mesopotamia (J),弹弓怪日版
Metal Stoker (J),铁甲战车日版
Military Madness (U),疯狂军队美版
Mizubaku Dai Bouken (J),mizubakudaibouken日版
Momotarou Densetsu Gaiden Dai 1 Shuu (J),桃太郎传说外传日版
Momotarou Densetsu II (J),桃太郎传说２日版
Momotarou Densetsu Turbo (J),桃太郎传说加强版日版
Momotarou Katsugeki (J),桃太郎活剧日版
Monster Puroresu (J),怪兽日版
Morita Shougi PC (J),森田将棋日版
Moto Roader (J),未来赛车日版
Moto Roader (U),未来赛车美版
Moto Roader II (J),未来赛车2日版
Moto Roader II (J) [a],未来赛车2日版1
Mr. Heli no Daibouken (J),亨利先生日版
Mr. Heli no Daibouken (J) [a],亨利先生日版1
Narazumono Sentai Butai - Bloody Wolf (J),血腥风暴日版
Naxat Open (J),naxat公开赛日版
Naxat Stadium (J),naaxat棒球日版
Nazo no Mascarade (J),化妆舞会之谜日版
Necromancer (J),necromancer日版
Necros no Yousai (J),尼克罗斯要塞日版
Nectaris (J),太空模拟战日版
Nekketsu Koukou Dodgeball Bu - PC Bangai Hen (J),热血足球日版
Nekketsu Koukou Dodgeball Bu - Soccer PC Hen (J),热血高校日版
Neutopia (J),世界冒险记日版
Neutopia (U),世界冒险记美版
Neutopia II (J),世界冒险记2日版
Neutopia II (U),世界冒险记2美版
New Adventure Island (U),新冒险岛美版
"New Zealand Story, The (J)",纽西兰故事日版
NHK Taiga Drama - Taiheiki (J),太平记日版
Night Creatures (U),暗夜生物美版
Niko Niko Pun (J),树熊历险记日版
Ninja Ryuuken Den (J),忍者龙剑传日版
Ninja Spirit (U),最后忍道美版
"Ninja Warriors, The (J)",忍者战士日版
Obocchama Kun (J),少爷历险日版
Operation Wolf (J),乌兹冲锞日版
Order of the Griffon (U),龙与地下城美版
Ordyne (J),欧坦救美日版
Ordyne (U),欧坦救美美版
Out Live (J),疯狂赛车日版
Out Run (J),疯狂前进日版
Override (J),超空战机日版
P-47 - The Freedom Fighter (J),p47日版
Pachio Kun - Juuban Shoubu (J),柏青哥日版
Pac-Land (J),小精灵日版
Pac-Land (U),小精灵美版
Panza Kick Boxing (U),panzakickboxing美版
Paranoia (J),异次元战机日版
Parasol Stars - The Story of Bubble Bobble III (J),彩虹岛3日版
Parasol Stars - The Story of Bubble Bobble III (U),彩虹岛3美版
Parodius da! - Shinwa Kara Owarai he (J),parodiusda日版
PC Denjin - Punkic Cyborgs (J),pc原人日版2
PC Denjin - Punkic Cyborgs (J) [a],pc原人日版3
PC Genjin - Pithecanthropus Computerurus (J),pc原人日版
PC Genjin - Pithecanthropus Computerurus (J) [a],pc原人日版1
PC Genjin 2 - Pithecanthropus Computerurus (J),pc原人2日版
PC Genjin 3 - Pithecanthropus Computerurus (J),pc原人3日版1
PC Genjin 3 - Pithecanthropus Computerurus (Taikenban) (J),pc原人3日版
PC Pachi-Slot (J),pcpachislot日版
Populous (J),都市计划日版
Populous (J) [a],都市计划日版1
Power Drift (J),超级赛车日版
Power Drift (J) [a],超级赛车日版1
Power Eleven (J),超级足球日版
Power Gate (J),超级高尔夫狭路日版
Power Golf (J),超级高尔夫日版
Power Golf (U),超级高尔夫美版
Power League (All Star Version) (J),超级棒球联盟日版1
Power League (J),超级棒球联盟日版
Power League '93 (J),超级棒球联盟93日版
Power League II (J),超级棒球联盟2日版
Power League III (J),超级棒球联盟3日版
Power League IV (J),超级棒球联盟4日版
Power League V (J),超级棒球联盟5日版
Power Sports (J),超级运动员日版
Power Tennis (J),超级网球日版
Pro Tennis World Court (J),网球日版
Pro Yakyuu World Stadium (J),世界网球日版
Pro Yakyuu World Stadium '91 (J),世界网球9日版
Psycho Chaser (J),闪灵悍将日版
Psychosis (U),闪灵悍将美版
Puzzle Boy (J),解谜小子日日版
Puzznic (J),迷魂方块日版
Quiz Toukou Shashin (J),写真问答日版
Rabio Lepus Special (J),罗比日版
Racing Damashii (J),racingdamashii日版
Raiden (J),雷电日版
Raiden (U),雷电美版
Rastan Saga II (J),王者之剑2日版
Rock-On (J),rockon日版
R-Type (U),rtype美版
R-Type Part-1 (J),rtypepart1日版
R-Type Part-2 (J),rtypepart2日版
Ryukyu (J),琉球日版
Sadakichi 7 Series - Hideyoshi no Ougon (J),秀吉之黄金定吉七号日版
Saigo no Nindou - Ninja Spirit (J),最后忍道日版
Salamander (J),沙罗曼蛇日版
Samurai-Ghost (U),源平讨魔传美版
Sekigahara (J),关原之役日版
Sengoku Mahjong (J),战国麻雀日版
Shanghai (J),上海日版
Shinobi (J),忍日版
Shiryou Sensen (J),死灵战线日版
Shockman (U),改造超人美版
Shougi Shodan Icchokusen (J),将棋初段一直线日版
Shougi Shoshinsha Muyou (J),将棋初心者无用日版
SideArms - Hyper Dyne (J),绝对合体日版
SideArms - Hyper Dyne (U),绝对合体美版
Silent Debuggers (J),宇宙警备队日版
Silent Debuggers (U),宇宙警备队美版
Sindibad Chitei no Dai Makyuu (J),地底大魔宫日版
Sinistron (U),激烈战斗美版
