en_name,cn_name
1552 Tenka Tairan (Japan),1552天下大乱 （日版）
3x3 Eyes - Sanjiyan Henjou (Japan),三只眼 （日版）
3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1),三只眼 （日版） （修正版 1）
A.III. - A Ressha de Ikou III (Japan),A列车 3 （日版）
"Addams Family, The (USA)",亚当斯一家 （美版）
Advanced V.G. (Japan),少女格斗战 （日版）
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan),卡普空冒险问答 （日版）
Ai Chou Aniki (Japan) (SADS),爱·超兄贵 （日版） (SADS)
"Akumajou Dracula X - Chi no Rondo (Japan) (FABT, FACT)","恶魔城X 血之轮回 （日版） (FABT, FACT)"
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT),阿尔拉姆的獠牙 ～獣族十二神徒伝説～ （日版） (FAAT)
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT),阿尔拉姆的獠牙 ～獣族十二神徒伝説～ （日版） (FABT)
Alshark (Japan),星际怒涛 （日版）
Ane-san (Japan),姐 （日版）
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),元朝秘史 苍狼与白鹿 （日版）
Asuka 120% Maxima - Burning Fest. Maxima (Japan),鸟120%-燃烧的学园祭 （日版）
"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者 （日版）
Aurora Quest - Otaku no Seiza in Another World (Japan),極光任務 - 遙遠的星座 （日版）
AV Tanjou (Japan) (Unl),AV 诞生 （日版） （非官方版）
AV Tanjou (Japan) (Unl) (Alt 1),AV 诞生 （日版） （非官方版） (Alt 1)
AV Tanjou (Japan) (Unl) (Alt 2),AV 诞生 （日版） （非官方版） (Alt 2)
Avenger (Japan),复仇者 （日版）
Babel (Japan),通天塔 （日版）
Baby Jo - The Super Hero (Japan),宝贝乔-超级英雄 （日版）
Bakuden - Unbalance Zone (Japan),爆传 不平衡地区 （日版）
Bakushou Yoshimoto Shinkigeki (Japan) (FABT),爆笑吉本新喜劇 （日版） (FABT)
Basted (Japan),魔幻密宝 （日版）
Battle Shanghai - Dragon's Eye ~ Shanghai III - Dragon's Eye (Japan),上海3 龙之眼 （日版）
Bazar de Gozarre no Game de Gozarre (Japan),在观众席上的游戏中登场 （日版）
Beyond Shadowgate (USA),暗影之门 （美版）
Bikkuriman Daijikai (Japan),神奇大事界 （日版）
Bishoujo Janshi Idol Pai (Japan) (Unl),美少女雀士偶像派 （日版） （非官方版）
Bishoujo Senshi Sailor Moon (Japan),美少女战士 （日版）
Bishoujo Senshi Sailor Moon Collection (Japan),美少女战士合集 （日版）
Black Hole Assault (Japan),黑洞救援 （日版）
Blood Gear (Japan),血钢齿轮 （日版）
Bomberman '94 (Japan) (Demo),炸弹人94 （日版） （演示版）
Bomberman - Panic Bomber (Japan) (FAAT),炸弹人方块 （日版） (FAAT)
Bomberman - Panic Bomber (Japan) (FABT),炸弹人方块 （日版） (FABT)
Bonanza Bros. (Japan),神偷拍档 （日版）
Bonk III - Bonk's Big Adventure (USA),PC原人3 邦克的大冒险 （美版）
Brandish (Japan),魔女逗勇者 （日版）
Browning (Japan),布朗宁 （日版）
BuilderLand - The Story of Melba (Japan),建造者之地 梅尔巴的故事 （日版）
Burai - Yatsudama no Yuushi Densetsu (Japan),Burai 八玉勇士伝説 （日版）
Burai II - Yami Koutei no Gyakushuu (Japan),Burai2 闇皇帝的逆襲 （日版）
Buster Bros. (USA),泡泡兄弟 （美版）
CAL II (Japan),undefined
CAL II (Japan) (Alt),undefined
CAL III - Kanketsu-hen (Japan),CAL III 完结篇 （日版）
Camp California (USA),加州营地 （美版）
Campaign Version - Daisenryaku II (Japan),大战略2 （日版）
Cardangels (Japan),卡牌天使 （日版）
CD Battle - Hikari no Yuusha-tachi (Japan),CD 战斗 - 光之勇者们 （日版）
CD Bishoujo Pachinko - Kyuuma Yon Shimai (Japan) (Unl),CD美少女弹子球～球魔四姐妹 （日版） （非官方版）
CD Denjin - Rockabilly Tengoku (Japan),CD电人～乡村摇滚乐天国 （日版）
CD Hanafuda - Bishoujo Fan Club (Japan) (Unl),CD花札 美少女粉丝俱乐部 （日版） （非官方版）
CD Mahjong - Bishoujo Chuushinha (Japan) (Unl),CD麻将 美少女中心派 （日版） （非官方版）
CD Pachi-Slot - Bishoujo Gambler (Japan) (Unl),CD柏青哥 美少女赌徒 （日版） （非官方版）
Chiki Chiki Boys (Japan),双麒儿 （日版）
"Chou Aniki (Japan) (FAAT, FACT)","超兄贵 （日版） (FAAT, FACT)"
Chou Eiyuu Densetsu - Dynastic Hero (Japan),超英雄伝説 王朝的英雄 （日版）
Chou Jikuu Yousai Macross - Eien no Love Song (Japan),超时空要塞 永恒的爱 （日版）
Chou Jikuu Yousai Macross 2036 (Japan),超时空要塞 2036 （日版）
Color Wars (Japan),色彩战争 （日版）
Cosmic Fantasy - Bouken Shounen Yuu (Japan),宇宙幻想 冒险少年尤 （日版）
Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 1),宇宙幻想 冒险少年尤 （日版） (Alt 1)
Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 2),宇宙幻想 冒险少年尤 （日版） (Alt 2)
Cosmic Fantasy 2 (USA),宇宙幻想2 （美版）
Cosmic Fantasy 2 - Bouken Shounen Ban (Japan),宇宙幻想3 冒险少年斑 （日版）
Cosmic Fantasy 3 - Bouken Shounen Rei (Japan),宇宙幻想3 冒险少年雷 （日版）
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan),宇宙幻想4 银河少年传说 激斗篇 （日版）
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan),宇宙幻想4 银河少年传说 突入篇 （日版）
Cyber City Oedo 808 - Kemono no Alignment (Japan),机动刑事808 兽的属性 （日版）
Daisenpuu Custom (Japan),大旋风 （日版）
"Davis Cup Tennis, The (Japan)",戴维斯杯网球赛 （日版）
De-Ja (Japan),undefined
Dead of the Brain 1&2 (Japan),脑死者1+2 （日版）
Death Bringer - The Knight of Darkness (Japan),死亡使者 黑暗骑士 （日版）
Dekoboko Densetsu - Hashiru Wagamanmaa (Japan),人偶传说 任性地奔跑 （日版）
Dennou Tenshi - Digital Ange (Japan),电脑天使 （日版）
Develo - Starter Kit - Assembler-hen (Japan),Develo 初学者 汇编篇 （日版）
Develo - Starter Kit - BASIC-hen (Japan),Develo 初学者 BASIC篇 （日版）
Develo Magazine Vol. 1 (Japan),Develo 杂志 vol.1 （日版）
Doraemon - Nobita no Dorabian Night (Japan),哆啦A梦 大雄的天方夜谭 （日版）
Double Dragon II - The Revenge (Japan),双截龙2 复仇 （日版）
Doukyuusei (Japan) (Rev 3),同级生 （日版） （修正版 3）
