en_name,cn_name
Amateur Teikyou CD-ROM (Japan) (NEC PC-FXGA),アマチュア提供ＣＤ‐ＲＯＭ （日版） (NEC PC-FXGA)
"Langrisser FX, Der (Japan)",梦幻模拟战2 （日版）
Battle Heat (Japan),战斗英雄 （日版）
"Sotsugyou II FX - Neo Generation (Japan) (SABS, SACS)","卒业2-新生代 （日版） (SABS, SACS)"
Doukyuusei 2 (Japan),同级生2 （日版）
Dragon Knight 4 (Japan),龙骑士4 （日版）
Fire Woman Matoigumi (Japan),火舞女子缠组 （日版）
Megami Paradise II (Japan),女神天国2 （日版）
Fushigi no Kuni no Angelique (Japan),不可思议之国的安琪莉可 （日版）
Farland Story FX (Japan),古大陆物语FX （日版）
Pia Carrot e Youkoso!! We've Been Waiting for You (Japan),恋爱餐厅 （日版）
Can Can Bunny Extra DX (Japan),首映日 （日版）
AnimeFreak FX Vol. 2 (Japan),动漫美少女大集合 Vol.2 （日版）
First Kiss Story (Japan),初吻物语 （日版）
Kokuu Hyouryuu - Nirgends (Japan),虚空漂流-尼鲁格恩斯 （日版）
J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),蓝色芝加哥 （日版） (Disc 1)
J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),蓝色芝加哥 （日版） (Disc 2)
Return to Zork (Japan),重返魔域 （日版）
Sparkling Feather (Japan),闪光羽翼 （日版）
Super Power League FX (Japan),超级职棒联盟FX （日版）
Voice Paradise (Japan) (Disc A),声优乐园 （日版） (Disc A)
Voice Paradise (Japan) (Disc B),声优乐园 （日版） (Disc B)
Wakusei Koukitai - Little Cats (Japan),惑星攻机队-小猫 （日版）
Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc I),续初恋物语-修学旅行 （日版） (Disc I)
Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc II),续初恋物语-修学旅行 （日版） (Disc II)
Blue Breaker - Ken yori mo Hohoemi o (Japan),纯爱游侠-剑之微笑 （日版）
Same Game FX (Japan) (NEC PC-FXGA),Same Game FX（日版） (NEC PC-FXGA)
AnimeFreak FX Vol. 1 (Japan),动漫美少女大集合 Vol.1 （日版）
