en_name,cn_name
"007 - The World Is Not Enough (USA, Europe)",007–明日帝国（美）
10-Pin Bowling (Europe),10杆保龄球（美）
10-Pin Bowling (USA) (Rumble Version),10杆保龄球（美）
102 Dalmatas - Cachorros Al Rescate (Spain),102斑点狗
"102 Dalmatians - Puppies to the Rescue (USA, Europe)",102忠狗（美）
"102 Dalmatiens a la Rescousse, Les (France)",102斑点狗法
102 Dalmatiner (Germany),102忠狗（德）
"1942 (USA, Europe)",1942（美）
3-D Ultra Pinball - Thrillride (USA) (Rumble Version),3D弹珠台（美）
"31 in 1 (Taiwan) (31B-001, Sachen) (Unl)",31合1
"31-in-1 Mighty Mix (Australia) (31B-001, Sachen) (Unl)",31合1
"3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)",3D台球（欧）
"4 in 1 + 8 in 1 (World) (4B-001, 4B-009, 8B-001, Sachen) (Unl)",4 in 1 + 8 in 1
"4 in 1 + 8 in 1 (World) (4B-002, 4B-004, 8B-002, Sachen) (Unl)",4 in 1 + 8 in 1
"4 in 1 + 8 in 1 (World) (4B-005, 4B-006, 8B-003, Sachen) (Unl)",4 in 1 + 8 in 1
"4 in 1 + 8 in 1 (World) (4B-007, 4B-008, 8B-004, Sachen) (Unl)",4 in 1 + 8 in 1
"4x4 World Trophy (Europe) (En,Fr,De,Es,It) (GB Compatible)",怪兽车大赛（欧）
"720 Degrees (USA, Europe) (GB Compatible)",720度滑板小子（美）
ATV Racing & Karate Joe (Europe) (Alt) (Unl),空手道Joe(欧)
ATV Racing & Karate Joe (Europe) (Alternate) (Unl),空手道Joe(欧)
ATV Racing & Karate Joe (Europe) (Unl),空手道Joe(欧)
ATV Racing (Europe) (Unl),全地形车比赛(欧)
"Action Man - Search for Base X (USA, Europe)",战斗人–寻找X基地（美）
Action Replay Online (Europe) (Unl),回放演示程序
"Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)",蓝精灵冒险（欧）
AirForce Delta (Japan),空军Delta（日）
AirForce Delta (USA),空军Delta（日）
"Aladdin (Europe) (En,Fr,De,Es,It,Nl)",阿拉丁(欧）
Aladdin (USA),阿拉丁(欧）
"Alfred's Adventure (Europe) (En,Fr,De,Es,It)",阿福莱德的冒险(欧）
"Alice in Wonderland (Europe) (En,Fr,De,Es)",爱丽丝梦游仙境(欧）
Alice in Wonderland (USA),爱丽丝梦游仙境(欧）
"Aliens - Thanatos Encounter (USA, Europe)",异形遭遇战（美）
All Star Tennis 2000 (Europe) (GB Compatible),全明星网球2000（欧）
"All-Star Baseball 2000 (USA, Europe)",全明星棒球2000（美）
All-Star Baseball 2001 (USA),全明星棒球2001（美）
"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl)",鬼屋魔影–新恶梦（欧）
"Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)",鬼屋魔影–新恶梦（欧）
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible),动物饲育家3代（日）
Animal Breeder 4 (Japan),动物饲育家4代（日）
Animastar GB (Japan),动物王（日）
"Animorphs (Europe) (En,Fr,De,Es,It)",变身战士(欧）
Animorphs (USA),变身战士(欧）
Anpfiff - Der RTL Fussball-Manager (Germany),RTL足球经理
"Antz (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)",小蚁雄兵（欧）
"Antz (USA) (En,Fr,Es) (GB Compatible)",小蚁雄兵（欧）
"Antz Racing (Europe) (En,Fr,De,Es,It,Nl)",蚂蚁赛车（欧）
"Antz Racing (USA) (En,Fr,De,Es,It,Nl)",蚂蚁赛车（欧）
"Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl)",安茨体育世界
Aqualife (Japan) (SGB Enhanced) (GB Compatible),水族馆（日）
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible),魔法气泡大冒险（日）
Armada - FX Racers (USA),亚曼达车手（美）
"Armorines - Project S.W.A.R.M. (USA, Europe) (En,De)",装甲兵器（美）
"Army Men (USA, Europe) (En,Fr,De)",小军人1代（美）
"Army Men - Air Combat (USA, Europe) (En,Fr,De)",小军人–空中大战（美）
"Army Men - Sarge's Heroes 2 (USA, Europe) (En,Fr,De)",小军人–英雄无敌2（美）
"Army Men 2 (USA, Europe) (En,Fr,De)",小军人2代（美）
Arthur's Absolutely Fun Day! (USA),快乐的日子（美）
"Asterix & Obelix (Europe) (En,Fr,De,Es)",维京人冒险（欧）
"Asterix & Obelix Contre Cesar (Europe) (En,Fr,De,Es,Nl) (GB Compatible)",维京人冒险
"Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl)",维京人闯天关欧
"Asteroids (USA, Europe) (GB Compatible)",太空任务（美）
"Atlantis - The Lost Empire (Europe) (En,Es,It)",亚特兰蒂斯–失落的帝国（美）
"Atlantis - The Lost Empire (Europe) (Fr,De,Nl)",亚特兰蒂斯–失落的帝国（美）
"Atlantis - The Lost Empire (USA, Europe)",亚特兰蒂斯–失落的帝国（美）
Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan),小熊维尼（日）
"Austin Powers - Oh, Behave! (Europe) (En,Fr,De,Es,It)",奥斯丁政权–行动起来（欧）
"Austin Powers - Oh, Behave! (USA)",奥斯丁政权–行动起来（欧）
"Austin Powers - Welcome to my Underground Lair! (Europe) (En,Fr,De,Es,It)",奥斯丁政权–地下王国（欧）
Austin Powers - Welcome to my Underground Lair! (USA),奥斯丁政权–地下王国（欧）
"Aventures de Buzz l'Eclair, Les (France)",巴兹光年星际使命法
Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan),海豹战队
"Azure Dreams (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",魔物之塔（欧）
Azure Dreams (USA) (SGB Enhanced) (GB Compatible),魔物之塔（欧）
B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible),炸弹人外传日
B-Daman Bakugaiden V - Final Mega Tune (Japan),炸弹超人爆外传5（日）
"Babe and Friends (Europe) (En,Fr,De,Es,It) (GB Compatible)",宝贝猪（美）
Babe and Friends (USA) (GB Compatible),宝贝猪（美）
"Baby Felix - Halloween (Europe) (En,Fr,De,Es,It,Nl)",费利克斯猫–万圣节（欧）
Back to Earth 3D (Europe) (Demo),返回地球3D
"Backgammon (Europe) (En,Fr,De,Es) (GB Compatible)",西洋双六棋（欧）
Backgammon (Japan) (GB Compatible),西洋双六棋（欧）
Bad Badtz-Maru Robo Battle (Japan),罗布的战斗
Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible),爆球连发日
Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan),爆走传说日
Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan) (GB Compatible),爆走战记–钢铁之友情（日）
Bakuten Shoot Beyblade (Japan),爆转陀螺(日）
Ballistic (USA) (GB Compatible),气球方块（美）
"Balloon Fight GB (Japan) (NP, SGB Enhanced) (GB Compatible)",气球大战（日）
"Balloon Fight GB (Japan) (SGB Enhanced, GB Compatible) (NP)",气球大战（日）
Barbie - Aventura Submarina (Spain) (GB Compatible),芭比娃娃-海洋冒险
Barbie - Avventure nell'Oceano (Italy) (GB Compatible),芭比娃娃-海上冒险
Barbie - Chasse au Tresor Sous-Marine (France) (GB Compatible),芭比娃娃–海洋探险（法）
Barbie - Diepzee Avontuur (Netherlands) (GB Compatible),芭比娃娃-深海探险
"Barbie - Fashion Pack Games (USA, Europe) (GB Compatible)",芭比娃娃–新潮装（美）
