en_name,cn_name
Tom Clancy's – Shadow Wars (EU)(M5),幽灵战士-暗影战争
Super Monkey Ball 3D (EU)(M5),超级猴球3D
LEGO Star Wars III – The Clone Wars (EU)(M6),乐高星球大战3-克隆战争
"Legend of Zelda – Ocarina of Time 3D, The (EU)(M5)",塞尔达传说-时之笛3D
Super Mario 3D Land (EU)(M7),超级马里奥大陆3D
Star Fox 64 3D (EU)(M5),星际火狐64 3D
Pilotwings Resort (EU)(M5),飞行之翼-旅游圣地
Resident Evil – The Mercenaries 3D (EU)(M5),生化危机-雇佣兵3D
Puzzle Bobble Universe (EU)(M5),飞出来吧!泡泡龙3D
Rayman 3D (EU)(M5),雷曼3D
Super Street Fighter IV – 3D Edition (EU)(M5),超级街霸4 3D
Dead or Alive – Dimensions (EU)(M6),死或生-多重维度
Tom Clancy's Splinter Cell 3D (EU)(M5),细胞分裂3D
Ridge Racer 3D (EU)(M5),山脊赛车3D
Doctor Lautrec and the Forgotten Knights (EU)(M5),罗特里克博士和忘却的骑士团
Mario Kart 7 (EU)(M7),马里奥赛车7
Steel Diver (EU)(M5),钢铁机师
Tetris (EU)(M6),俄罗斯方块
Cubic Ninja (EU)(M6),立体忍者
Asphalt 3D (EU)(M5),狂野飙车3D
LEGO Pirates of the Caribbean – The Video Game (EU)(M9),乐高加勒比海盗
Driver – Renegade 3D (EU)(M10),车神-极道无限3D
"Sims 3, The (EU)(M6)",模拟人生3
Madden NFL Football (EU),麦登橄榄球
Ridge Racer 3D (JP),山脊赛车3D
Super Pokemon Rumble (EU)(M5),超级口袋妖怪-乱战
Tales of the Abyss (EU),深渊传说
Green Lantern – Rise of the Manhunters (EU)(M6),绿灯侠-猎人的崛起
Thor – God of Thunder (EU)(M5),雷神托尔
Dream Trigger 3D (EU)(M3),梦想扳机
Ridge Racer 3D (US)(M3),山脊赛车3D
Pilotwings Resort (US)(M3),飞行之翼-旅游圣地
"Legend of Zelda – Ocarina of Time 3D, The (US)(M3)",塞尔达传说-时之笛3D
Steel Diver (US)(M3),钢铁机师
Nintendogs + Cats – Toy Poodle & New Friends (US)(M3),任天狗+猫-玩具贵宾犬与新朋友
Tom Clancy's – Shadow Wars (US)(M3),幽灵战士-暗影战争
Super Street Fighter IV – 3D Edition (US)(M3),超级街霸4 3D
Blazblue – Continuum Shift II (EU)(M4),苍翼默示录-连续变换2
Cave Story 3D (US),洞窟物语3D
Mario Kart 7 (US)(M3),马里奥赛车7
Super Mario 3D Land (US)(M3),超级马里奥大陆3D
Super Monkey Ball 3D (US)(M3),超级猴球3D
Sonic Generations (US)(M3),索尼克世代
Star Fox 64 3D (US)(M3),星际火狐64 3D
Shinobi (US)(M3),忍
Bit.Trip Saga (US),像素跑者-传说
SpongeBob SquigglePants 3D (EU)(M6),海绵宝宝3D
Captain America – Super Soldier (EU)(M5),美国队长-超级战士
Pro Evolution Soccer 2011 3D (EU)(M3),实况足球2011 3D
Harvest Moon 3D – The Tale of Two Towns (US),牧场物语3D-双子村历险
Dead or Alive – Dimensions (US)(M6),死或生-多重维度
"Adventures of Tintin – The Game, The (EU)(M10)",丁丁历险记
Shin Megami Tensei – Devil Survivor Overclocked (US),真女神转生-恶魔幸存者：超频
Tetris Axis (US)(M3),俄罗斯方块-新轴向
Nano Assault (US),纳米突袭
Shinobi (EU)(M5),忍
Naruto Shippuden 3D – The New Era (EU)(M2),火影忍者3D-新时代
Sudoku – The Puzzle Game Collection (EU)(M5),数独
Combat of Giants – Dinosaurs 3D (EU)(M9),恐龙突袭3D
Zoo Resort 3D (EU)(M6),动物园胜地3D
Blazblue – Continuum Shift II (US)(M4),苍翼默示录-连续变换2
Transformers – Dark of the Moon – Stealth Force Edition (EU)(M5),变形金刚-暗月
Ace Combat – Assault Horizon Legacy (US)(M3),皇牌空战:突击地平线-遗产
Layton Kyouju to Kiseki no Kamen (JP),雷顿教授与奇迹假面
Super Street Fighter IV – 3D Edition (JP),超级街霸4 3D
F1 2011 (EU)(M5),方程式赛车 2011
Ace Combat – Assault Horizon Legacy (EU)(M5),皇牌空战:突击地平线-遗产
DualPenSports (EU)(M5),双笔运动
Mahjong Cub3D (US),麻将3D
Pokemon Rumble Blast (US),超级神奇宝贝大纷争
"Sims 3 – Pets, The (US)(M3)",模拟人生3-宠物
LEGO Harry Potter – Years 5-7 (US)(M4),乐高哈里波特-5-7年
LEGO Pirates of the Caribbean – The Video Game (US)(M3),乐高加勒比海盗
Cartoon Network – Punch Time Explosion (EU)(M5),卡通频道大乱斗
LEGO Star Wars III – The Clone Wars (US)(M3),乐高星球大战3-克隆战争
WWE All Stars (US)(M3),全明星摔角
FIFA 12 (EU)(M3),FIFA足球12
Samurai Warriors Chronicles (US),战国无双编年史
Tom Clancy's Splinter Cell 3D (US)(M3),细胞分裂3D
Resident Evil – Revelations (EU)(M6),生化危机-启示录
FIFA Soccer 12 (US)(M3),FIFA足球12
Bust-a-Move Universe (US)(M3),飞出来吧!泡泡龙3D
Wipeout 2 (US),勇敢向前冲2
Marvel Super Hero Squad – The Infinity Gauntlet (EU)(M4),漫威超级英雄-无限挑战
Pac-Man Party 3D (US)(M3),吃豆人聚会
Rabbids – Travel in Time 3D (US)(M3),疯狂的兔子-时间旅行3D
SpongeBob SquigglePants 3D (US)(M3),海绵宝宝3D
Rabbids 3D (EU)(M10),疯狂的兔子3D
WWE All Stars (EU)(M5),全明星摔角
Cooking Mama 4 – Kitchen Magic (US),料理妈妈4-厨房魔术
Michael Jackson – The Experience 3D (EU)(M5),迈克尔杰克逊-生涯 3D
Generator Rex – Agent of Providence (EU)(M5),变形小雷 神之刺客
Pro Evolution Soccer 2011 3D (US)(M3),实况足球2011 3D
Pro Evolution Soccer 2012 3D (US)(M4),实况足球2012 3D
Dream Trigger 3D (US)(M3),梦想扳机
Nintendogs + Cats – Golden Retriever & New Friends (US)(M3),任天狗+猫-金毛犬与新朋友
Cartoon Network – Punch Time Explosion (US),卡通频道大乱斗
Driver – Renegade (US)(M3),车神/极道无限3D
James Noir's Hollywood Crimes (US)(M3),好莱坞犯罪
Pac-Man & Galaga Dimensions (US)(M3),吃豆人与小蜜蜂
Skylanders – Spyro's Adventure (US)(M2),小龙斯派罗的大冒险
James Noir's Hollywood Crimes 3D (EU)(M5),好莱坞犯罪
Tekken 3D – Prime Edition (EU)(M5),铁拳3D
Mario & Sonic at the London 2012 Olympic Games (US)(M3),马里奥与索尼克在伦敦奥运会
Tales of the Abyss (US),深渊传说
Tekken 3D – Prime Edition (US)(M3),铁拳3D
Metal Gear Solid 3D – Snake Eater (US)(M3),合金装备3D-食蛇者
Resident Evil – Revelations (US)(M6),生化危机-启示录
Mario & Sonic at the London 2012 Olympic Games (EU)(M6),马里奥与索尼克在伦敦奥运会
Asphalt 3D (US)(M3),狂野飙车3D
Green Lantern – Rise of the Manhunters (US),绿灯侠-猎人的崛起
Happy Feet Two (US),快乐的大脚2
Nintendogs + Cats – French Bulldog & New Friends (US),任天狗+猫-法国斗牛犬与新朋友
Rayman 3D (US),雷曼3D
Resident Evil – The Mercenaries 3D (US),生化危机-雇佣军
DualPenSports (US),双笔运动
Need for Speed – The Run (EU)(M6),极品飞车:亡命狂飙
Cubic Ninja (US),立体忍者
Madden NFL Football (US),麦登橄榄球
"Sims 3, The (US)",模拟人生3
Monster Hunter 3G (JP),怪物猎人3G
Doctor Lautrec and the Forgotten Knights (US),罗特里克博士和忘却的骑士团
Nicktoons MLB 3D (US),尼克卡通职棒联盟 3D
Transformers – Dark of the Moon – Stealth Force Edition (US),变形金刚-暗月
Metal Gear Solid 3D – Snake Eater (EU)(M5),合金装备3D-食蛇者
Reel Fishing 3D – Paradise (US),真实钓鱼3D-天堂
Combat of Giants – Dinosaurs 3D (US),恐龙突袭3D
Frogger 3D (US),青蛙过河3D
Petz Fantasy 3D (US),宠物幻想3D
Puzzler Mind Gym 3D (US),解谜脑锻炼3D
Thor – God of Thunder (US),雷神托尔
One Piece – Unlimited Cruise SP (EU)(M5),海贼王-无尽的航海SP
Nintendogs + Cats – Golden Retriever & New Friends (v01) (EU)(M5),任天狗+任天猫-金毛犬与新朋友
Kid Icarus – Uprising (EU)(M5),新光之神话-帕鲁迪娜之境
Deca Sports Extreme (US),十项全能极限
F1 2011 (US),方程式赛车2011
Brunswick Pro Bowling (US),布伦瑞克职业保龄球
Nikoli's Pencil Puzzle (US),尼古莱的铅笔拼图
Pinball Hall of Fame – The Williams Collection (US),弹珠台名人堂-威廉姆斯的收藏
Samurai Warriors Chronicles (EU),战国无双编年史
Crush 3D (EU)(M5),压碎3D
Sports Island 3D (EU)(M5),运动岛3D
Kid Icarus – Uprising (US)(M3),新光之神话-帕鲁迪娜之境
Crush 3D (US),压碎3D
Lets Ride! Best in Breed 3D (US),明星坐骑3D
Paws and Claws – Pampered Pets Resort 3D (US),宠物商店-水疗中心
Sonic Generations (EU)(M5),索尼克世代
Centipede – Infestation (US),巨虫入侵
Carnival Games – Wild West 3D (US),狂欢游戏-狂野西部 3D
Face Racers – Photo Finish (US),人面赛车-照片完成
Gabrielle's Ghostly Groove 3D (US),卡布瑞的幽灵舞者 3D
Horses 3D (US)(M2),马儿 3D
Jaws – Ultimate Predator (US),大白鲨-终极捕食者
Spider-Man – Edge of Time (US),蜘蛛侠-时间的边缘
Ben 10 – Galactic Racing (US),银河竞速
Funky Barn 3D (US),时尚谷仓 3D
Marvel Super Hero Squad – The Infinity Gauntlet (US),漫威超级英雄-无限挑战
"Oregon Trail, The (US)",俄勒冈小道
Nintendogs + Cats – Toy Poodle & New Friends (EU)(M5),任天狗+猫-玩具贵宾犬与新朋友
Cave Story 3D (EU),洞窟物语3D
Captain America – Super Soldier (US),美国队长-超级战士
Cars 2 (US),汽车总动员2
Gem Smashers (US),宝石也疯狂
Generator Rex – Agent of Providence (US),变形小雷神之刺客
Zoo Resort 3D (US),动物园胜地 创造动物园
Secret Mysteries in London (EU)(M4),在伦敦之谜的秘密
Cars 2 (EU)(M6),汽车总动员2
Mahjong 3D – Warriors of the Emperor (EU)(M4),麻将3D：皇帝之勇士
Michael Jackson – The Experience 3D (US),迈克尔·杰克逊舞王体验3D
"Adventures of Tintin – The Game, The (US)",丁丁历险记
DreamWorks Super Star Kartz (US),梦工厂全明星卡丁车
Imagine – Fashion Designer (US),时尚女孩3D流行趋势
Pet Zombies (US),宠物僵尸
"Hidden, The (US)",隐藏者
"Sims 3 – Pets, The (EU)(M6)",模拟人生3 宠物
Puzzler Mind Gym 3D (EU)(M5),益智思维锻炼
Need for Speed – The Run (US),极品飞车16 亡命天涯
NASCAR Unleashed (US),纳斯卡赛车：释放
Puppies 3D (US),小狗 3D
Shifting World (US),变幻世界 白与黑之迷宫
Rhythm Thief & the Emperor's Treasure (EU)(M5),节奏怪盗R 拿破仑的遗产
Angler's Club – Ultimate Bass Fishing 3D (EU)(M3),垂钓俱乐部：究极钓鲈鱼3D
NCIS 3D (EU)(M5),海军罪案调查处
Gundam the 3D Battle (JP),高达 3D战争
Mario Tennis Open (EU)(M7),马里奥网球OPEN
35 Classic Games (EU)(M4),35经典游戏
Bit.Trip Saga (EU),像素跑者 传说
Pac-Man & Galaga Dimensions (EU)(M5),吃豆人与小蜜蜂 维度
Rayman Origins (EU)(M6),雷曼 起源
