en_name,cn_name
"Pichu Bros. Mini (Japan)","皮丘弟兄 (日)"
"Pokemon Anime Card Daisakusen (Japan)","宝可梦战斗卡牌 (日)"
"Pokemon Party Mini (Japan)","宝可梦聚会 (日)"
"Pokemon Pinball Mini (Japan)","宝可梦弹珠 (日)"
"Pokemon Puzzle Collection (Japan)","宝可梦解谜 Vol.1 (日)"
"Pokemon Puzzle Collection Vol. 2 (Japan)","宝可梦解谜 Vol.2 (日)"
"Pokemon Race Mini (Japan)","宝可梦竞速 (日)"
"Pokemon Shock Tetris (Japan)","宝可梦俄罗斯方块 (日)"
"Pokemon Sodateyasan Mini (Japan)","宝可梦xxxx (日)"
"Pokemon Tetris (Europe) (En,Ja,Fr)","宝可梦俄罗斯方块 (欧)"
"Pokemon Zany Cards (USA, Europe)","宝可梦战斗卡牌 (欧)"
"Snorlax's Lunch Time (Japan) (GameCube)","卡比兽的午餐时间 (日)"
"Togepi no Daibouken (Japan)","波克比大冒险 (日)"
