en_name,cn_name
96 Zenkoku Koukou Soccer Senshuken (Japan),nan
2020 Super Baseball (Japan),超级棒球2020(日)
2020 Super Baseball (USA),超级棒球2020(日)
3 Ninjas Kick Back (USA),忍者好小子(美)
3-jigen Kakutou Ballz (Japan) (Sample),3D方块人大战
3-jigen Kakutou Ballz (Japan),3D方块人大战
3x3 Eyes - Juuma Houkan (Japan),3x3只眼-魔兽奉还
3x3 Eyes - Seima Kourinden (Japan),3x3只眼-圣魔降临传
4-nin Shougi (Japan),4人将棋
46 Okunen Monogatari - Harukanaru Eden e (Japan),46亿年物语
"7th Saga, The (USA)时空引导者美版",nan
90 Minutes - European Prime Goal (Europe) (Beta),90分钟欧洲足球(欧)(测试版)
90 Minutes - European Prime Goal (Europe),90分钟欧洲足球(欧)(测试版)
A.S.P. - Air Strike Patrol (USA),空袭巡逻
ABC Monday Night Football (Japan),ABC电视台周一足球(日)
ABC Monday Night Football (USA),ABC电视台周一足球(日)
ACME Animation Factory (Europe),动书工厂(欧)
ACME Animation Factory (USA),动书工厂(欧)
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan),A列车3-超级版
Aaahh!!! Real Monsters (Europe),怪物三人行(欧)
Aaahh!!! Real Monsters (USA),怪物三人行(欧)
Accele Brid (Japan),电脑战机(日)
Ace o Nerae! (Japan),山本玲美香网球
Acrobat Mission (Japan) (En),特殊任务(日)
ActRaiser (Europe),雷莎出击(欧)
ActRaiser (France),雷莎出击(欧)
ActRaiser (Germany),雷莎出击(欧)
ActRaiser (USA) (Arcade),雷莎出击(欧)
ActRaiser (USA),雷莎出击(欧)
ActRaiser 2 (USA),雷莎出击2(欧)(M3)
ActRaiser 2 - Chinmoku e no Seisen (Japan),雷莎出击2
Action Pachio (Japan),柏青哥君大进击(日)
Actraiser (Japan),雷莎出击(欧)
"Actraiser 2 (Europe) (En,Fr,De)",雷莎出击2(欧)(M3)
"Addams Family Values (Europe) (En,Fr,De)",阿达一族(欧)(M3)
"Addams Family Values (USA) (En,Fr,De)",阿达一族(欧)(M3)
"Addams Family, The (Europe) (En,Fr,De)",阿达一族(美)(M3)
"Addams Family, The (Japan)",阿达一族(美)(M3)
"Addams Family, The (USA) (Arcade)",阿达一族(美)(M3)
"Addams Family, The (USA)",阿达一族(美)(M3)
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族3(欧)
"Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta)",阿达一族3(欧)
"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族3(欧)
Advanced Dungeons & Dragons - Eye of the Beholder (USA),nan
"Adventures of Batman & Robin, The (Europe)",蝙蝠侠和罗宾的冒险(欧)
"Adventures of Batman & Robin, The (USA)",蝙蝠侠和罗宾的冒险(欧)
"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)",科学怪人的冒险(欧)(M7)
"Adventures of Dr. Franken, The (USA)",科学怪人的冒险(欧)(M7)
"Adventures of Kid Kleets, The (USA) (En,Fr,Es)",足球小子的冒险(美)
"Adventures of Mighty Max, The (Europe)",万能麦斯(欧)
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",松鼠与麋鹿(美)
Adventures of Yogi Bear (USA),亚吉熊(美)
"Adventures of the Rocketeer, The (Japan)",火箭飞行者(日)
Aero Fighters (USA),铁鹰战士(美)
Aero the Acro-Bat (Europe),飞天蝙蝠(欧)
Aero the Acro-Bat (USA),飞天蝙蝠(欧)
Aero the Acro-Bat 2 (Europe),飞天蝙蝠2(欧)
Aero the Acro-Bat 2 (USA),飞天蝙蝠2(欧)
Aerobiz (USA),航空产业(美)
Aerobiz Supersonic (USA),航空产业-超音速版(美)
Aging Cassette (Japan),老化盒式磁带
Aguri Suzuki F-1 Super Driving (Europe),f1超级赛车欧版
Air Cavalry (Europe),空中骑兵直升机(欧)
Air Cavalry (USA),空中骑兵直升机(欧)
Air Management - Oozora ni Kakeru (Japan) (Rev 1),航空产业-日(日)(V1.0)
Air Management - Oozora ni Kakeru (Japan),航空产业-日(日)(V1.0)
Air Management II - Koukuu Ou o Mezase (Japan),航空霸业2-目标航空王
Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1),沉睡的魔女
Akagawa Jirou - Majotachi no Nemuri (Japan),沉睡的魔女
Akazukin Chacha (Japan),小红帽恰恰
Akumajou Dracula (Japan),恶魔城(日)
Akumajou Dracula XX (Japan),恶魔城XX(日)
Al Unser Jr.'s Road to the Top (Europe),飞驰至頂点(欧)
Al Unser Jr.'s Road to the Top (USA),飞驰至頂点(欧)
Aladdin (Europe),阿拉丁(欧)
Aladdin (France),阿拉丁(欧)
Aladdin (Germany),阿拉丁(欧)
Aladdin (Japan),阿拉丁(欧)
Aladdin (Spain),阿拉丁(欧)
Aladdin (USA) (Beta),阿拉丁(欧)
Aladdin (USA),阿拉丁(欧)
Aladdin 2000 (World) (Unl) (Pirate),阿拉丁2000
Albert Odyssey (Japan) (Rev 1),英雄圣战(日)
Albert Odyssey (Japan),英雄圣战(日)
Albert Odyssey 2 - Jashin no Taidou (Japan),英雄圣战2(日)
Alcahest (Japan),地底魔神(日)
Alfred Chicken (Europe),神险艾烈佛(欧)
Alice no Paint Adventure (Japan),异形3(日)
Alien 3 (Europe),异形3(欧)
Alien 3 (Japan),异形3(欧)
Alien 3 (USA) (Beta 1),异形3(欧)
Alien 3 (USA) (Beta 2),异形3(欧)
Alien 3 (USA) (Beta 3),异形3(欧)
Alien 3 (USA) (Rev 1),异形3(欧)
Alien 3 (USA),异形3(欧)
Alien vs Predator (Europe),机器战警VS终结者
Alien vs Predator (USA),机器战警VS终结者
Aliens vs. Predator (Japan),异形对终极战士(日)
All-American Championship Football (Europe),全美冠军足球赛(欧)
"Amazing Spider-Man, The - Lethal Foes (Japan)",蜘蛛侠-致命敌人
America Oudan Ultra Quiz (Japan),美国橫断(日)
American Battle Dome (Japan),对战弹珠台(日)
American Gladiators (USA),美国电视斗士(美)
"American Tail, An - Fievel Goes West (Europe)",美国鼠谭-西部枪鼠(欧)
"American Tail, An - Fievel Goes West (USA)",美国鼠谭-西部枪鼠(欧)
Ancient Magic - Bazoe! Mahou Sekai (Japan),古魔法世界
Andre Agassi Tennis (Japan) (En),阿格西网球(日)
Andre Agassi Tennis (USA),阿格西网球(日)
Angelique (Japan) (Premium Box),女王学院(日)
Angelique (Japan),女王学院(日)
Angelique - Voice Fantasy (Japan),女王学院-原声版(日)
Animal Buranden - Brutal (Japan),动物快打
Animaniacs (Europe),卡通集锦(欧)
Animaniacs (Japan),卡通集锦(欧)
Animaniacs (USA),卡通集锦(欧)
Another World (Europe),另一个世界(欧)
Aoki Densetsu Shoot! (Japan) (Beta),足球风云
Aoki Densetsu Shoot! (Japan),足球风云
Apocalypse II (Europe) (Proto),启示录II
Appleseed - Prometheus no Shintaku (Japan),苹果核战(日)
Aqutallion (Japan),超时空战士(日)
Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta),阿拉伯奇遇(日)
Arabian Nights - Sabaku no Seirei Ou (Japan),阿拉伯奇遇(日)
Araiguma Rascal (Japan),浣熊方块(日)
Arcade's Greatest Hits - The Atari Collection 1 (Europe),atari电玩合集1美版
Arcade's Greatest Hits - The Atari Collection 1 (USA),atari电玩合集1美版
Arcana (USA),魔幻精灵卡(美)
Archer Maclean's Super Dropzone (Europe),宇宙航天员欧版
Arcus Spirits (Japan),亚克斯传说(日)
Arcus Spirits (USA) (Proto),亚克斯传说(日)
Ardy Lightfoot (Europe),光脚阿迪(欧)
Ardy Lightfoot (Japan) (Beta),光脚阿迪(欧)
Ardy Lightfoot (Japan),光脚阿迪(欧)
Ardy Lightfoot (USA),光脚阿迪(欧)
Area 88 (Japan),战区88(日)
Aretha (Japan) (Rev 1) (NP),阿蕾莎(日)
Aretha (Japan),阿蕾莎(日)
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1),阿蕾莎2(日)(样品)
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2),阿蕾莎2(日)(样品)
Aretha II - Ariel no Fushigi na Tabi (Japan),阿蕾莎2(日)(样品)
Arkanoid (Europe),打砖块欧版
Arkanoid - Doh It Again (Japan) (En),打砖块(欧)
Arkanoid - Doh It Again (USA),打砖块(欧)
Art of Fighting (Europe),龙虎之拳(欧)
Art of Fighting (USA),龙虎之拳(欧)
Aryol (Japan),动态拼图(日)
Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan),加藤123九段将棋(日)
Asameshimae Nyanko (Japan),小猫物语(日)
Ashita no Joe (Japan),小拳王(日)
"Asterix & Obelix (Europe) (En,Fr,De,Es)",美丽新世界2(欧)(M4)
"Asterix (Europe) (En,Fr,De,Es)",美丽新世界(欧)(M4)
"Atlas, The - Renaissance Voyager (Japan) (Rev 1) (NP)",佛罗伦斯航海者
"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者
Atmosfear (USA) (Proto) (,nan
Axelay (Europe),银河风暴(欧)
Axelay (Japan),银河风暴(欧)
Axelay (USA) (Sample),银河风暴(欧)
Axelay (USA),银河风暴(欧)
B.O.B. (Europe),蚂蚁战士(欧)
B.O.B. (USA),蚂蚁战士(欧)
BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1),nan
Baby T-Rex (USA) (Sample),宝贝龙beta版
Bahamut Lagoon (Japan),神龙骑兵/龙界传说/圣龙战记(日)
Bakukyuu Renpatsu!! Super B-Daman (Japan),弹珠超人(日)
Bakumatsu Kourinden Oni (Japan),幕末降临传(日)
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan),暴投-动物大混战
Ball Bullet Gun (Japan),BB枪大作战(日)
Ballz 3D - Fighting at Its Ballziest (USA),sd球美版
Bananas de Pijamas (World) (Unl) (Pirate),睡衣香蕉
Barbarossa (Japan),巴拿马战役(日)
Barbie Super Model (USA),芭比-超级模特儿(美)
Barbie Vacation Adventure (USA) (Proto),芭比-假日冒险(美)
Barkley Shut Up and Jam! (Europe),巴克利篮球(欧)
Barkley Shut Up and Jam! (USA),巴克利篮球(欧)
Barkley no Power Dunk (Japan) (En),巴克利强力灌篮(日)
Bass Masters Classic (Japan),巴斯钓鱼大师教室(日)
Bass Masters Classic (USA),巴斯钓鱼大师教室(日)
Bass Masters Classic - Pro Edition (Europe),巴斯大师教室-专业(欧)
Bass Masters Classic - Pro Edition (USA),巴斯大师教室-专业(欧)
Bassin's Black Bass (USA),猛钓黑巴斯美版
Bastard!! - Ankoku no Hakaishin (Japan),暗黑的破坏神(日)
Batman (USA) (Proto) [b],蝙蝠侠beta版
Batman - Revenge of the Joker (USA) (Proto),蝙蝠侠-迷天大圣复仇记(美)
Batman Forever (Europe),永远的蝙蝠侠(欧)
Batman Forever (Japan) (En),永远的蝙蝠侠(欧)
Batman Forever (USA) (Rev 1),永远的蝙蝠侠(欧)
Batman Forever (USA),永远的蝙蝠侠(欧)
Batman Returns (Europe),蝙蝠侠重现江湖(欧)
Batman Returns (Japan) (En),蝙蝠侠重现江湖(欧)
