en_name,cn_name
007 Shitou - The Duel (Japan),詹姆斯邦德007-决斗(J)
10 Super Jogos (Brazil),nan
16 Zhang Mahjong (Taiwan) (Unl),十六张麻将
16 Zhang Mahjong II (Taiwan) (Unl),十六张麻将II
16t (Japan) (SegaNet),nan
2020 Nen Super Baseball (Japan),nan
3 Ninjas Kick Back (USA),忍者三兄弟
6-Pak (USA),nan
"688 Attack Sub (USA, Europe)",688攻击潜艇
A Ressha de Ikou MD (Japan),nan
ATP Tour (Europe),Atp 巡回赛
ATP Tour Championship Tennis (USA) (Beta) (1994-05-09),atp冠军欧
ATP Tour Championship Tennis (USA) (Beta) (1994-07-19),atp冠军欧
ATP Tour Championship Tennis (USA) (Beta) (1994-07-23),atp冠军欧
ATP Tour Championship Tennis (USA) (Beta) (1994-08-02),atp冠军欧
ATP Tour Championship Tennis (USA) (Beta) (1994-08-05),atp冠军欧
ATP Tour Championship Tennis (USA) (Beta) (1994-08-08),atp冠军欧
ATP Tour Championship Tennis (USA) (Beta) (1994-09-08),atp冠军欧
ATP Tour Championship Tennis (USA),atp冠军欧
Aa Harimanada (Japan),nan
Aaahh!!! Real Monsters (Europe),怪物三人行
Aaahh!!! Real Monsters (USA) (Beta) (1995-07-07),怪物三人行
Aaahh!!! Real Monsters (USA),怪物三人行
Action 52 (USA) (Unl),动作52
Action Replay (Europe) (Program) (Unl),md演示程序
"Addams Family Values (Europe) (En,Fr,De)",阿达一族Values(E)
"Addams Family, The (USA, Europe) (Beta) (Alt 1)",阿达一族(UE)
"Addams Family, The (USA, Europe) (Beta)",阿达一族(UE)
"Addams Family, The (USA, Europe)",阿达一族(UE)
Advanced Busterhawk Gleylancer (Japan),星际枪骑兵
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Beta) (1991-03-07),大战略-闪电奇袭(J)
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),大战略-闪电奇袭(J)
"Adventures of Batman & Robin, The (Europe)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-06)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-10)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-11)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-18)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-19)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-21)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-22)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-24)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-26)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-27)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-28)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Batman & Robin, The (USA)",蝙蝠侠与罗宾的冒险(U)
"Adventures of Mighty Max, The (Europe)",万能麦斯
"Adventures of Mighty Max, The (USA)",万能麦斯
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",松鼠与麋鹿的冒险
Adventurous Boy - Mao Xian Xiao Zi (Taiwan) (Unl),冒险小子
Aero Blasters (Japan),空战克星
Aero the Acro-Bat (Europe) (Beta),飞天蝙蝠
Aero the Acro-Bat (Europe),飞天蝙蝠
Aero the Acro-Bat (USA),飞天蝙蝠
Aero the Acro-Bat 2 (Europe),飞天蝙蝠2(U)
Aero the Acro-Bat 2 (USA),飞天蝙蝠2(U)
Aerobiz (USA),航空霸业
Aerobiz Supersonic (USA),超音速航空产业
After Burner II (Japan),冲破火网2
"After Burner II (USA, Europe)",冲破火网2
Air Buster (USA),空中霸王(U)
Air Diver (Japan),空中驾驭者日
Air Diver (USA),空中驾驭者日
Air Management - Oozora ni Kakeru (Japan),航空霸业-天空之赌(J)
Air Management II - Koukuuou o Mezase (Japan),航空霸业2-目标航空王(J)
"Al Michaels Announces HardBall III (USA, Europe)",棒球教练
Aladdin (Europe),阿拉丁
Aladdin (Japan) (En) (Beta) (1993-07-31),阿拉丁
Aladdin (Japan),阿拉丁
Aladdin (USA) (Beta) (1993-06-27) (Chicago C.E.S. Demo),阿拉丁
"Aladdin (USA) (Beta) (August, 1993)",阿拉丁
Aladdin (USA),阿拉丁
Aladdin II (Taiwan) (En) (Unl),阿拉丁II
Alex Kidd - Cheongong Maseong (Korea),天空的魔城
Alex Kidd - Tenkuu Majou (Japan),天空魔城
Alex Kidd in the Enchanted Castle (Europe),冒险少年-迷惑之城
Alex Kidd in the Enchanted Castle (USA),冒险少年-迷惑之城
"Alien 3 (USA, Europe) (Rev A)",异形3
"Alien 3 (USA, Europe)",异形3
Alien Soldier (Europe),异型战士(J)
Alien Soldier (Japan),异型战士(J)
Alien Soldier (USA) (Virtual Console),异型战士(J)
Alien Storm (World),异形风暴
Alisia Dragoon (Europe),龙骑士
Alisia Dragoon (Japan),龙骑士
Alisia Dragoon (USA),龙骑士
"Altered Beast (USA, Europe)",兽王记
American Gladiators (USA),美国电视竞技斗士
Andre Agassi Tennis (Europe),阿加斯网球
"Andre Agassi Tennis (USA) (Beta) (August, 1992)",阿加斯网球
Andre Agassi Tennis (USA),阿加斯网球
"Animaniacs (Europe) (En,Fr,De)",爱尼麦克斯
Animaniacs (USA),爱尼麦克斯
Another World (Europe),另一世界欧
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),nan
Aq Renkan Awa (Taiwan) (Unl),阿q连环炮中
"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)",nan
"Arcade Classics (USA, Europe)",nan
Arcade Legends Sega Mega Drive ~ Arcade Legends Sega Genesis ~ Mega Drive Play TV (World),nan
Arcade Legends Street Fighter II' - Special Champion Edition ~ Mega Drive Play TV 3 (World),nan
"Arch Rivals - The Arcade Game (USA, Europe)",nan
Arcus Odyssey (Japan),亚克斯之旅
Arcus Odyssey (USA),亚克斯之旅
"Ariel the Little Mermaid (USA, Europe) (1992-10-10) (Sega Channel)",迪斯尼-小美人鱼(UE)
"Ariel the Little Mermaid (USA, Europe)",迪斯尼-小美人鱼(UE)
"Arnold Palmer Tournament Golf (USA, Europe) (Rev A) (Beta) (1990-03-22) (Sega Channel)",阿诺德高尔夫锦标赛美欧
"Arnold Palmer Tournament Golf (USA, Europe)",阿诺德高尔夫锦标赛美欧
"Arrow Flash (Japan, Europe)",V型战斗
Arrow Flash (USA),V型战斗
Art Alive (World) (Beta) (1991-09-20),艺术生捱
Art Alive (World),艺术生捱
Art of Fighting (Europe),龙虎之拳
Art of Fighting (USA) (Beta) (1994-07-11),龙虎之拳
Art of Fighting (USA),龙虎之拳
"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)",美丽新世界-阿斯特瑞克斯大救援
Asterix and the Great Rescue (USA),美丽新世界-阿斯特瑞克斯大救援
"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)",nan
"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es,It) (Beta) (February, 1994)",nan
Atomic Robo-Kid (Japan),原子机械童
Atomic Robo-Kid (USA),原子机械童
Atomic Runner (Europe),原子作战
Atomic Runner (USA),原子作战
Australian Rugby League (Europe),澳洲英式橄榄球联盟
Awesome Possum Kicks Dr Machino's Butt! (USA) (Beta),nan
Awesome Possum... ...Kicks Dr. Machino's Butt (Japan) (En),真棒波苏姆。.踢马奇诺博士的屁屁
Awesome Possum... ...Kicks Dr. Machino's Butt (USA),真棒波苏姆。.踢马奇诺博士的屁屁
Aworg (Japan) (SegaNet),nan
"Ayrton Senna's Super Monaco GP II (Japan, Europe) (En,Ja)",摩纳哥gp赛车3
"Ayrton Senna's Super Monaco GP II (USA) (En,Ja)",摩纳哥gp赛车3
"B.O.B. (USA, Europe) (Beta) (October, 1992)",B.O.B
"B.O.B. (USA, Europe) (Rev A)",B.O.B
