en_name,cn_name
Ridge Racers,山脊赛车
Vampire Chronicle - The Chaos Tower,恶魔战士编年史-浑沌之塔
Wipeout Pure,反重力赛车
Lumines,音乐方块
Twisted Metal - Head On,扭曲金属赛车-勇往直前
Smart Bomb,智能炸弹
Ridge Racer,山脊赛车
Gretzky NHL,美国职业冰球联盟
Need for Speed - Underground Rivals,极品飞车-地下狂飙
ATV Offroad Fury - Blazin' Trails,沙滩机车赛
Dynasty Warriors,真三国无双
NBA,美国职业篮球联赛
Puzzle Bobble Pocket,泡泡龙 口袋版
Metal Gear Ac!d,合金装备
Hot Shots Golf - Open Tee,大众高尔夫 携带版
Need for Speed - Underground Rivals,极品飞车-地下狂飙
Shin Sangoku Musou,真三国无双
World Tour Soccer,世界足球巡回赛
Untold Legends - Brotherhood of the Blade,无尽传说-刀锋兄弟会
Tiger Woods PGA Tour,泰格伍兹高尔夫球巡回赛
Minna no Golf Portable,大众高尔夫 携带版
Tony Hawk's Underground 2 - Remix,托尼霍克地下滑板2-复刻版
Lumines,音乐方块
Ape Escape - On the Loose,捉猴啦P!
Soukyuu no Fafner,苍穹之法夫娜
MLB,美国职棒大联盟
Archer Maclean's Mercury,水银
NFL Street 2 Unleashed,NFL街头橄榄球2 释放
Namco Museum,南梦宫博物馆
Kotoba no Puzzle - Mojipittan Daijiten,词汇益智游戏-文字大辞典
Spider-Man 2,蜘蛛侠2
Minna no Golf Portable - Coca-Cola SE,大众高尔夫-可口可乐特别版 携带版
Tales of Eternia,永恒传说
Metal Gear Ac!d,合金装备
Rengoku - The Tower of Purgatory,炼狱-洗罪塔
Puyo Puyo Fever,噗哟噗喲 狂热
Shutokou Battle - Zone of Control,首都高-街头至尊
Kollon,科隆方块
FIFA Soccer,FIFA足球
Piposaru Academia - Dossari! Sarugee Daizenshu,比波猴学院 捉猴大全集
Bleach - Heat the Soul,死神-灵魂升温
Mahjong Kakutou Club,麻将格斗俱乐部
Darkstalkers Chronicle - The Chaos Tower,恶魔战士编年史-浑沌之塔
Coded Arms,机密武装
Wipeout Pure,反重力赛车
San Goku Shi V,三国志5
Glorace - Phantastic Carnival,梦幻嘉年华
Space Invaders Pocket,太空侵略者 口袋版
Armored Core - Formula Front,装甲核心-方程式前线
Midnight Club 3 - DUB Edition,湾岸午夜俱乐部3-DUB版
Armored Core - Formula Front,装甲核心-方程式前线
Generation of Chaos IV - Another Side,新天魔界混沌时代4
Rengoku - The Tower of Purgatory,炼狱-洗罪塔
Eiyuu Densetsu Gagharv Trilogy IV - Akai Shizuku,英雄传说-朱红之泪
Dynasty Warriors,真三国无双
