en_name,cn_name
J-STARS Victory VS AR Appli,Jump全明星乱斗 AR (应用软件) [日文版]
ModNation Racers: Road Trip,模组世界赛车：街头之旅 [英文版]
MLB 12 The Show,美国职业棒球大联盟 12 [英文版]
Sound Shapes,声与形 [英文版]
Escape Plan,逃脱计划 [英文版]
Super Stardust Delta,超级星尘 三角洲 [英文版]
Hustle Kings,台球王 [英文版]
Resistance: Burning Skies (ENG),抵抗：燃烧天空 [英文版]
Hot Shots Golf: World Invitational,大众高尔夫 6 [英文版]
Little Deviants,捣蛋小精灵 [英文版]
Gravity Rush,重力眩晕 [英文版]
Reality Fighters,真实格斗 [英文版]
Unit 13,13分队 [英文版]
WipEout 2048,反重力赛车 2048 [日文版]
LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版]
MotorStorm RC,机车风暴 RC [英文版]
Uncharted: Golden Abyss,神秘海域：黄金深渊 [英文版]
MotorStorm RC,机车风暴 RC [英文版]
Table Soccer,桌上冰球 [英文版]
PulzAR,PulzAR [英文版]
Fireworks,烟花 [英文版]
Cliff Diving,峭壁游泳 [英文版]
Facebook,Facebook (应用软件) [英文版]
Skype,Skype (应用软件) [英文版]
LiveTweet for PlayStation Vita,LiveTweet (应用软件) [英文版]
Flickr,Flickr (应用软件) [英文版]
foursquare,foursquare [英文版]
Table Top Tanks,桌上坦克 [英文版]
Frobisher Says!,佛罗比舍如是说 [英文版]
Resistance: Burning Skies Augmented Reality Monument Viewer,抵抗：燃烧天空 增强现实纪念碑查看器 [英文版]
Paint Park,绘画公园 [英文版]
Treasure Park,财宝公园 [英文版]
YouTube,YouTube (应用软件) [英文版]
Resistance: Burning Skies (POR),抵抗：燃烧天空 [英文版]
Table Ice Hockey,桌上冰球 [英文版]
Wake-up Club,起床俱乐部 [英文版]
Sly Cooper: Thieves in Time,狡狐大冒险：岁月神偷 [英文版]
PlayStation All-Stars Battle Royale,索尼全明星大乱斗 [英文版]
Table Mini Golf,桌上高尔夫 [英文版]
When Vikings Attack!,维京人进攻之时 [英文版]
Smart as,加油！头脑酱 [英文版]
Jak and Daxter Collection,杰克与达斯特 收藏版 [英文版]
PlayStation Home Arcade,PlayStation®Home 街机 [英文版]
Ratchet & Clank: Full Frontal Assault,瑞奇与叮当：全面进攻 [英文版]
Ecolibrium,平衡世界 [英文版]
Uncharted: Fight for Fortune,神秘海域：命运之战 [英文版]
Bentley's Hackpack,狡狐大冒险：本特利的破解包 [英文版]
Soul Sacrifice,灵魂献祭 [英文版]
Sly Cooper and the Thievius Raccoonus,狡狐大冒险：岁月神偷 [英文版]
Sly 2: Band of Thieves (Sly Cooper 2),狡狐大冒险 2：狭盗团 [英文版]
Sly 3: Honor Among Thieves (Sly Cooper 3),狡狐大冒险 3：侠盗荣誉 [英文版]
Tearaway,撕纸小邮差™ [英文版]
RESOGUN,光电战机 [英文版]
Destiny of Spirits,魂之宿命 [英文版]
Killzone: Mercenary,杀戮地带：雇佣兵 [英文版]
Jacob Jones and the Bigfoot Mystery,琼斯与神秘大脚的冒险 [英文版]
Pinball Heroes: Complete,弹珠英雄：完全版 [英文版]
Disney Epic Mickey 2: The Power of Two,经典米奇 2：双重威力 [英文版]
Paint Park Plus,绘画公园 Plus [英文版]
Toro's Friend Network,大伙乐相伴 Friend Network [英文版]
