en_name,cn_name
1 On 1 (J) (SPG) (Jorudan),一对一
19 03 Agano Hatsu Yakou Ressha (J) (AVG) (Visit),19时03分 - 上野发夜光列车
Ace Combat (J) (STG) (Namco),皇牌空战
Ace Combat 2 (J) (STG) (Namco),皇牌空战 2
Ace Combat 3 Electrosphere (J) (STG) (Namco),皇牌空战 3 A
Ace Combat 3 Electrosphere (J) (STG) (Namco),皇牌空战 3 B
Adventure Of Puppet Princess (J) (RPG) (Nippon Ichi Software),玛鲁王国的人形姬
Aizouban Houshinengi (J) (S RPG) (Koei),封神演义 - 爱藏版
Akumajo Dracula X Gekka No Yasoukyoku (J) (ACT),恶魔城 - 月下夜想曲
Akumajo Dracula X Simple Chinese Patch V2 0 (CHS) (ACT) (Konami),恶魔城 - 月下夜想曲 简体中文汉化补丁 V2 0
Alive (J) (AVG) (General Entertainment),生存 A
Alive (J) (AVG) (General Entertainment),生存 B
Alive (J) (AVG) (General Entertainment),生存 C
Alundra (J) (A RPG) (SCEI),阿兰多拉
Alundra 2 (J) (A RPG) (SCEI),阿兰多拉 2
Aoki Ookami To Shiroki Meshika Genchou Hishi (J) (SLG) (Koei),苍狼与白鹿 - 元朝秘史
Ape Escape (E) (ACT) (SCEE),捉猴
Arc The Lad I (U) (RPG) (Working Designs),妖精战士 I
Arc The Lad II (U) (RPG) (Working Designs),妖精战士 II
Arc The Lad III (U) (RPG) (Working Designs),妖精战士 III A
Arc The Lad III (U) (RPG) (Working Designs),妖精战士 III B
Arc The Lad Monster Tournament Battle Arena (U) (RPG) (Working Designs),妖精战士 - 怪物赌博
Army Men Air Attack (U) (ACT) (3DO),玩具兵人 - 空中突袭
Army Men Air Attack 2 (U) (ACT) (3DO),玩具兵人 - 空中突袭 2
Army Men Green Rogue (J) (ACT) (3DO),玩具兵人 - 绿流氓
Army Men World War (U) (ACT) (3DO),玩具兵人 - 世界大战
Arthur To Astaroth Nazomakaimura Incredible Toons (J) (PUZ) (Capcom),迷之魔界村
Assault Suits Valken 2 (J) (S RPG) (NCS),重装机兵 2
Astronoka (J) (SLG) (Enix),宇宙农场
Atelier Elie (J) (RPG) (Gust),炼金术士 - 艾莉
Aura Battler Dunbine (J) (S RPG) (Bandai),圣战士坦拜因 - 圣战士传说
Azito (J) (SLG) (Astec21),秘密基地建设
Azito 2 (J) (SLG) (Banpresto),秘密基地建设 2
Azito 3 (J) (SLG) (Banpresto),秘密基地建设 3
B l u e Legend Of Water (J) (AVG) (Hudson),蔚蓝 - 水之传奇
Bealphareth (J) (A RPG) (SCEI),偶然遗迹
Beatmania 6th Mix Core Remix (J) (MUG) (Konami),狂热节拍 6th Mix Core Remix
Beatmania Append 3rd Mix (J) (MUG) (Konami),狂热节拍 3rd Mix
Beatmania Append 4th Mix (J) (MUG) (Konami),狂热节拍 4th Mix
Beatmania Append 5th Mix (J) (MUG) (Konami),狂热节拍 5th Mix
Beatmania Append Club Mix (J) (MUG) (Konami),狂热节拍 Club Mix
Beatmania Append Gotta Mix (J) (MUG) (Konami),狂热节拍 Gotta Mix
Beatmania Append Gotta Mix 2 (J) (MUG) (Konami),狂热节拍 Gotta Mix 2
Beatmania Arcade 2nd Mix Append Yebisu Mix (J) (MUG) (Konami),狂热节拍 2nd Mix A
Beatmania Arcade 2nd Mix Append Yebisu Mix (J) (MUG) (Konami),狂热节拍 2nd Mix B
Biohazard - Gun Survivor (J) (STG) (Capcom),生化危机 - 枪下游魂
Biohazard 2 Dual Shock Version (J) (AVG) (Capcom),生化危机 2 - 震动版 A
Biohazard 2 Dual Shock Version (J) (AVG) (Capcom),生化危机 2 - 震动版 B
Biohazard 3 Last Escape (J) (AVG) (Capcom),生化危机 3 - 最后逃亡
